CustomerID,InvoiceDate
17069,1/1/2021
NA,1/1/2021
17085,1/1/2021
12721,1/1/2021
16422,1/1/2021
15312,1/1/2021
14298,1/1/2021
14527,1/1/2021
13319,1/1/2021
18097,1/1/2021
14083,1/1/2021
15867,1/1/2021
15460,1/1/2021
15034,1/2/2021
17961,1/2/2021
12423,1/2/2021
NA,1/2/2021
15208,1/2/2021
14911,1/2/2021
16270,1/2/2021
14646,1/2/2021
12748,1/2/2021
16477,1/3/2021
17894,1/3/2021
NA,1/3/2021
13922,1/4/2021
14085,1/4/2021
NA,1/4/2021
12585,1/4/2021
14911,1/4/2021
18116,1/4/2021
16656,1/16/2021
16255,1/16/2021
14606,1/16/2021
17841,1/16/2021
NA,1/16/2021
14210,1/16/2021
17975,1/16/2021
13680,1/16/2021
15164,1/16/2021
14221,1/16/2021
15808,1/16/2021
13694,1/17/2021
12921,1/17/2021
15841,1/17/2021
NA,1/17/2021
15311,1/17/2021
13089,1/17/2021
14527,1/17/2021
18109,1/17/2021
16033,1/17/2021
15093,1/17/2021
14653,1/17/2021
15358,1/17/2021
15464,1/17/2021
15034,1/17/2021
15298,1/17/2021
13097,1/18/2021
18062,1/18/2021
15271,1/18/2021
12415,1/18/2021
17368,1/18/2021
13680,1/18/2021
14680,1/18/2021
14258,1/18/2021
15719,1/18/2021
17634,1/18/2021
12841,1/18/2021
15379,1/18/2021
18283,1/18/2021
12735,1/18/2021
NA,1/18/2021
13576,1/18/2021
13656,1/18/2021
14505,1/18/2021
13081,1/18/2021
15845,1/18/2021
14702,1/18/2021
13187,1/18/2021
16551,1/19/2021
13842,1/19/2021
NA,1/19/2021
12829,1/19/2021
12583,1/19/2021
14217,1/19/2021
12501,1/19/2021
16779,1/19/2021
14298,1/19/2021
12484,1/19/2021
15601,1/19/2021
15311,1/19/2021
13233,1/19/2021
12480,1/19/2021
14672,1/19/2021
13593,1/19/2021
17243,1/21/2021
16923,1/21/2021
13162,1/21/2021
13183,1/21/2021
17796,1/21/2021
14800,1/21/2021
17114,1/21/2021
15708,1/21/2021
16326,1/21/2021
12793,1/21/2021
17555,1/21/2021
14606,1/21/2021
17800,1/21/2021
16748,1/21/2021
14755,1/21/2021
14702,1/21/2021
15005,1/21/2021
13565,1/21/2021
17841,1/21/2021
14395,1/21/2021
13451,1/21/2021
12766,1/21/2021
NA,1/22/2021
12500,1/22/2021
13004,1/22/2021
12524,1/22/2021
14321,1/22/2021
14229,1/22/2021
16497,1/22/2021
17406,1/22/2021
15061,1/22/2021
15281,1/22/2021
15311,1/22/2021
15867,1/22/2021
17450,1/23/2021
14320,1/23/2021
12393,1/23/2021
17742,1/23/2021
16122,1/23/2021
12601,1/23/2021
17365,1/23/2021
12540,1/23/2021
14669,1/23/2021
14209,1/23/2021
NA,1/23/2021
13102,1/23/2021
12724,1/23/2021
13862,1/23/2021
NA,1/24/2021
12523,1/24/2021
13488,1/24/2021
18109,1/24/2021
17841,1/24/2021
14587,1/24/2021
14606,1/24/2021
15311,1/24/2021
17338,1/24/2021
12652,1/24/2021
14167,1/24/2021
17364,1/24/2021
NA,1/25/2021
12951,1/25/2021
15835,1/25/2021
16161,1/25/2021
13993,1/25/2021
14085,1/25/2021
16315,1/25/2021
13093,1/25/2021
16395,1/25/2021
16503,1/25/2021
15513,1/25/2021
16814,1/25/2021
13246,1/25/2021
15107,1/25/2021
15916,1/25/2021
18085,1/25/2021
12490,1/26/2021
13385,1/26/2021
15626,1/26/2021
NA,1/26/2021
16233,1/26/2021
15213,1/26/2021
17581,1/26/2021
18106,1/26/2021
14646,1/26/2021
17685,1/26/2021
15033,1/26/2021
15570,1/26/2021
14329,1/26/2021
17402,1/26/2021
14156,1/26/2021
17954,1/26/2021
16746,1/28/2021
16206,1/28/2021
12748,1/28/2021
15046,1/28/2021
17841,1/28/2021
13048,1/28/2021
13634,1/28/2021
17064,1/28/2021
12779,1/29/2021
15696,1/29/2021
14176,1/29/2021
12673,1/29/2021
14135,1/29/2021
15296,1/29/2021
17690,1/29/2021
13001,1/29/2021
14606,1/29/2021
14667,1/29/2021
15311,1/29/2021
14898,1/29/2021
13769,1/29/2021
13209,1/29/2021
17730,1/29/2021
13983,1/29/2021
13929,1/29/2021
13089,1/29/2021
16033,1/29/2021
NA,1/29/2021
13898,1/30/2021
16422,1/30/2021
12527,1/30/2021
18118,1/30/2021
15061,1/30/2021
12510,1/30/2021
NA,1/30/2021
12665,1/31/2021
12451,1/31/2021
17091,1/31/2021
14769,1/31/2021
14527,1/31/2021
17722,1/31/2021
12681,1/31/2021
13520,1/31/2021
12826,1/31/2021
15311,1/31/2021
17097,1/31/2021
17841,1/31/2021
NA,1/31/2021
17611,1/31/2021
17602,1/31/2021
14031,1/31/2021
17811,2/1/2021
17418,2/1/2021
